userId,DeviceType,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,3a,3b,3c,3d,3e,3f,3g,3h,3i,3j,3k,4a,4b,4c,4d,4e,4f,4g,4h,4i,4j,4k,5a,5b,5c,5d,5e,5f,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,6.1.0,6.11,6.12,6.13,6.14,6.15,6.16,6.17,6.18,6.19,6.2.0,6.21,6.22,6.23,6.24,6.25,6.26,6.27,6.28,6.29,6.3.0,6.31,6.32,6.33,6.34,6.35,7.01,7.02,7.03,7.04,7.05,7.06,7.07,7.08,7.09,7.1,7.11,7.12,7.13,7.14,7.15,7.16,7.17,7.18,7.19,7.2,7.21,7.22,7.23,7.24,7.25,7.26,7.27,7.28,7.29,7.3,8,9,10,11,12,13,16,17,18,19,20
57,Android,4,,,2,3,3,3,3,2,,5,5,3,5,5,1,5,4,5,4,5,4,4,3,4,,1,5,3,5,4,1,4,4,5,4,4,1,4,4,6,5,4,3,6,6,5,3,4,4,4,5,4,5,6,3,5,4,5,4,5,5,5,4,3,6,5,6,5,5,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,5,3,1,3,5,,1,1,5
58,Android,4,4,4,2,2,4,2,2,2,2,5,3,5,5,5,1,4,1,5,4,5,5,4,3,4,3,3,4,3,4,4,4,5,4,4,4,5,4,6,2,6,,4,2,6,,6,,,2,,6,,,,,,,,4,6,6,7,2,4,5,7,#VALUE!,#VALUE!,6,6,7,#VALUE!,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,5,1,1,1,1,3,3,1,1,1,3,5,,3,3,1
59,iPhone/iPod,3,4,3,2,3,3,4,4,3,3,5,5,4,4,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,6,6,2,2,6,6,5,4,2,2,2,6,,2,6,3,2,5,5,4,5,5,4,4,6,5,6,5,5,5,2,4,2,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,3,1,5,5,1,5,1,,5,1,5
60,iPhone/iPod,2,4,3,4,2,2,4,3,3,3,5,5,4,4,5,2,5,5,3,3,5,3,3,3,3,4,3,4,4,4,4,4,3,4,4,5,5,3,5,3,6,5,4,4,4,5,5,4,5,4,4,5,5,3,5,3,4,4,4,4,5,6,5,4,5,5,4,5,5,5,3,4,4,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,1,1,3,3,5,1,3,3,1
61,Android,5,5,5,1,3,2,2,2,2,2,4,3,4,4,5,2,4,3,4,5,3,4,1,1,2,2,3,4,3,4,4,1,5,5,5,3,4,2,3,7,7,5,3,5,7,5,7,3,4,5,3,6,6,6,6,3,5,3,6,6,6,2,3,3,5,6,6,3,6,6,3,3,3,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,3,1,5,1,1,5,1,5
62,Android,5,,5,2,2,1,2,2,1,1,4,4,3,4,5,1,4,3,4,4,3,3,5,1,2,1,1,5,1,4,3,3,3,4,2,4,4,1,5,7,4,7,1,7,2,6,5,7,3,4,2,5,4,5,5,7,,1,2,2,4,7,4,1,2,4,3,4,4,6,4,6,3,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,5,1,1,1,1,5,5,1,1,1,1,1,5,5,1,5,5,1,5,3,5
63,Android,2,3,2,3,4,3,4,4,3,3,4,5,2,4,5,2,3,4,3,3,1,4,4,3,3,4,3,2,4,4,3,4,5,3,4,4,4,3,4,6,6,5,3,1,3,3,4,4,4,3,4,4,5,3,4,5,3,,3,4,4,4,6,3,5,4,5,4,3,4,,4,3,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,3,1,,5,3,5
64,iPhone/iPod,5,5,2,3,3,4,3,3,2,2,4,5,4,5,5,3,5,4,4,5,3,5,4,5,3,5,3,4,5,5,4,5,3,5,5,3,5,4,7,5,5,5,4,4,3,7,4,2,6,4,5,5,6,4,6,4,3,3,4,5,4,6,7,6,6,5,6,7,4,6,4,6,4,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,1,5,1,3,1,,5,3,5
65,Android,3,4,3,3,3,2,2,3,2,2,4,5,3,5,5,2,5,5,3,4,3,1,1,1,2,2,1,3,1,4,3,1,5,4,3,3,5,3,5,5,7,4,5,5,4,,7,7,4,4,3,4,4,3,6,2,4,3,3,7,7,7,7,7,5,7,7,4,4,7,3,7,3,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,5,1,5,1,3,3,5,5,1,3,5,1,5,3,5
66,Windows,5,5,5,1,2,2,1,1,1,1,4,4,1,4,5,3,5,4,5,4,5,4,3,3,2,2,2,2,2,2,3,3,5,3,4,2,3,3,5,3,5,6,2,4,3,5,3,6,3,4,3,6,6,3,5,3,2,2,3,6,2,7,6,4,3,5,7,5,3,5,2,2,5,5,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5
67,Android,4,5,5,,4,4,2,1,1,1,5,4,3,4,5,2,5,2,5,5,5,3,2,2,1,1,1,3,1,4,2,3,5,2,3,1,2,1,5,2,6,4,1,2,4,5,6,5,4,1,4,4,5,5,6,5,1,5,4,3,5,6,5,1,4,5,5,4,4,6,3,5,5,1,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,3,1,1,3,1,3,1,1,3,5,5
68,Android,5,5,5,5,5,3,2,2,1,5,2,5,3,5,5,1,5,1,1,4,5,5,3,5,1,5,5,4,,5,3,5,2,5,5,4,5,2,7,7,4,7,1,1,3,7,3,7,5,2,4,3,6,5,3,7,3,4,5,2,3,6,6,3,3,2,7,7,3,2,7,7,7,1,5,1,1,1,5,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,5,5,5,3,3,5,1,5,1,1
69,iPhone/iPod,3,2,2,4,3,3,4,4,4,3,5,3,3,5,5,2,4,2,3,4,5,3,3,3,3,3,3,3,3,4,3,3,5,4,5,3,4,3,6,5,4,2,1,7,6,7,6,5,3,4,6,5,4,2,4,1,1,5,6,7,5,7,6,2,1,4,7,4,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,1,1,5,1,5,1,1,1,1,1,5,5,1,3,1,1
70,Android,3,2,,,4,2,3,3,3,3,2,4,4,4,5,2,4,4,3,3,5,3,3,3,,3,3,3,3,5,5,5,3,5,2,4,5,3,4,3,6,6,4,1,5,6,6,6,4,5,4,5,5,4,6,5,4,5,6,6,6,6,5,5,6,6,6,5,6,6,5,5,3,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,3,1,1,3,3,5,5,3,5,1,1
71,Android,3,3,3,2,3,2,3,3,3,3,5,5,3,4,5,3,5,4,5,5,3,4,5,4,3,4,3,4,4,5,5,5,4,5,3,4,5,3,3,4,6,4,4,2,5,5,6,3,4,4,4,5,7,5,5,3,4,3,6,6,6,3,4,,4,4,6,,4,5,,4,3,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1
72,Android,,,2,,3,3,4,4,4,3,4,2,3,4,4,2,5,3,4,5,5,3,3,4,4,3,3,3,2,5,3,4,3,5,4,5,4,3,3,5,5,5,4,2,3,5,4,5,3,3,4,3,5,4,3,2,3,4,4,3,5,5,5,4,5,5,5,4,3,4,3,6,5,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,5,5,1,3,1,1,5,1,1,3,1
73,Android,4,3,3,2,4,4,3,3,3,2,5,5,4,4,5,1,5,5,4,4,5,2,5,1,1,1,2,4,1,3,4,3,5,5,5,1,2,1,5,3,7,6,5,4,6,6,6,3,4,4,,5,6,5,6,2,4,5,6,2,6,4,4,5,5,4,5,5,5,5,1,4,2,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,5,3,1,1,3,3,5,1,3,1,3
74,iPad,3,2,2,4,4,3,4,4,3,3,4,5,4,3,4,2,4,5,4,4,5,5,2,5,4,4,4,3,3,4,4,4,4,4,2,4,4,3,4,2,6,4,4,4,,6,,5,3,4,4,,5,2,,6,4,4,2,6,2,2,4,4,6,5,5,4,2,4,3,6,6,1,1,1,1,5,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,5,1,1,1,5,3,1,1,3,3,5,1,1,3,1,1
75,Android,3,3,2,2,2,3,3,3,3,2,4,3,3,4,4,1,5,4,3,4,5,4,3,4,2,2,3,5,2,2,5,5,5,5,2,4,5,2,4,6,7,6,5,4,6,6,6,6,4,5,2,5,5,5,6,2,5,6,6,7,6,5,5,4,4,6,6,4,6,6,2,5,6,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,5,1,5,5,3,5,5,1,5,3,5
76,Windows,5,4,4,4,3,3,5,4,3,5,3,3,4,4,4,2,2,3,4,3,3,4,4,4,4,2,2,3,3,3,2,4,3,4,5,3,2,1,5,3,6,,4,2,4,6,,2,3,4,2,5,5,5,5,5,5,4,4,5,5,2,5,5,4,3,6,5,5,5,3,6,,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,3,1,1,1,1,3,1,1,1,1,1
77,iPhone/iPod,5,5,5,1,1,1,1,1,1,1,5,4,3,4,5,2,4,1,5,5,5,1,3,2,1,1,1,1,1,3,1,2,5,4,4,2,1,1,7,7,7,7,7,7,7,7,6,5,4,3,2,4,5,3,3,5,6,5,4,4,6,5,4,3,4,3,6,4,4,3,4,5,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,3,1,1,3,1,5,1,5,1,1,1
78,iPhone/iPod,5,4,5,2,2,3,2,1,1,1,5,4,4,5,5,4,5,5,5,5,3,4,5,4,4,3,3,4,3,4,4,4,5,5,5,4,4,3,1,6,5,6,1,1,1,5,5,5,4,1,1,4,5,5,5,5,2,4,2,4,5,5,5,1,1,4,5,4,4,5,4,4,4,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5,3,5,5,5,1,1,5,1,3,1,5
79,Android,2,3,3,4,3,2,4,3,3,3,5,5,3,3,5,2,5,5,5,,5,3,2,2,4,5,4,5,5,3,3,4,5,3,5,4,5,3,7,6,7,6,2,4,3,6,5,6,5,2,1,4,5,5,6,6,3,3,4,6,6,6,4,2,4,5,6,4,6,5,4,6,4,1,1,1,5,1,1,1,5,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,5,1,1,1,1,1,1,5,3,3,3,1,1,5,1,1,3,1
80,Android,2,3,2,3,4,,3,3,,,,,,,,1,,2,4,5,3,4,4,,3,,,5,,5,5,5,5,5,3,,,,6,3,7,6,4,3,5,7,4,3,6,4,3,5,5,5,6,6,5,4,4,4,4,3,5,5,4,5,4,6,4,4,6,6,3,1,1,1,1,5,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,1,5,1,1,1,1,1,5,1,5
81,iPhone/iPod,3,3,2,3,4,4,4,4,4,3,5,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,5,3,7,,,2,,,,4,,3,,,,5,7,,,4,3,,,,,,7,5,,6,,,3,5,1,,,1,5,1,5,5,5,5,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,5,1,5,1,1,1,1,5,1,1,1,1,1,5,1,5,1,5
82,Windows,,3,4,4,3,3,5,4,2,4,5,5,4,4,5,3,3,4,4,4,5,5,5,5,4,3,4,3,3,3,3,3,3,4,5,3,4,3,5,3,5,5,5,4,5,5,6,5,5,5,4,6,6,5,6,6,6,5,6,6,6,3,6,5,5,5,6,6,5,6,5,5,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,3,1,1,3,1,5,1,1,5,3,1
83,Windows,3,4,5,2,4,4,4,4,2,2,5,5,3,5,5,2,5,5,5,5,,5,3,5,2,5,4,5,4,5,4,5,5,5,5,5,5,5,4,2,5,4,5,6,7,6,7,6,6,6,7,6,5,6,6,6,6,6,,6,5,6,5,6,5,5,6,5,5,6,5,6,5,1,5,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,5,1,1,1,3,1
84,Windows,3,2,2,3,3,2,2,2,2,2,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,2,2,5,4,5,5,4,5,5,5,5,5,5,4,3,7,7,4,4,5,6,4,5,4,3,2,6,6,5,6,4,5,4,6,6,4,6,4,4,4,5,5,6,4,6,3,4,2,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,3,5,5,1,1,3,1,1,5,5,3
85,Windows,2,2,2,2,3,4,3,3,3,3,5,5,3,5,5,3,3,5,5,5,3,5,3,5,5,5,5,5,5,5,4,3,5,5,5,5,5,3,5,1,7,7,5,7,5,7,7,7,5,7,5,7,5,4,4,7,4,6,4,3,7,7,6,7,7,5,7,7,5,7,3,3,3,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,5,1,5,1,1,1,1,5,1,1,1,1,5,1,5,3,1,3,1,3,5,1,5,1,5
86,Windows,4,4,4,3,3,3,3,3,2,2,4,3,2,3,5,1,5,2,3,5,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,2,4,4,6,4,4,4,3,6,4,3,3,4,5,4,4,2,5,4,5,4,3,5,4,4,6,4,6,5,5,3,4,5,3,5,3,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,5,5,1,3,1
87,Windows,3,2,2,3,4,5,4,3,3,3,1,5,4,5,5,4,5,5,4,5,3,4,3,4,4,4,4,4,4,4,4,4,5,5,5,3,5,3,5,4,5,5,3,4,3,5,5,4,4,3,1,3,5,5,4,6,2,6,4,3,5,5,4,2,5,5,5,5,5,5,4,7,3,5,1,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,1,1,3,1,5,5,1,5,3,5
88,Windows,3,3,3,3,3,3,4,4,3,3,4,4,3,5,5,2,4,4,5,5,3,4,4,5,3,3,3,3,3,3,3,4,4,4,4,4,4,2,6,7,7,6,4,2,3,6,6,6,4,4,4,4,6,2,5,4,4,4,2,7,7,6,4,4,5,7,7,4,5,7,4,4,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,5,5,1,5,1,5
89,Windows,2,4,4,3,3,2,3,3,3,2,4,4,3,5,5,2,4,4,4,4,1,4,4,4,3,2,2,2,2,2,3,3,4,4,3,3,4,3,5,3,6,6,6,4,5,5,5,5,5,4,2,3,3,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,5,1,5,1,1,3,3,5,1,1,3,1
90,Android,5,,3,2,3,,3,2,2,2,5,4,3,4,4,1,3,2,2,4,3,4,3,3,3,1,1,5,1,1,1,2,4,4,3,5,4,3,6,3,6,6,5,4,6,6,6,4,6,4,4,6,6,5,6,6,4,4,6,5,6,3,4,4,6,6,6,6,6,6,5,6,3,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1,5,1,5,3,1,3,5,1,5,3,1
91,Windows,3,4,3,3,3,2,3,3,2,1,4,3,4,4,4,2,4,3,4,4,3,4,4,3,2,2,2,3,2,4,4,3,5,5,5,4,3,3,6,3,3,3,3,1,1,1,5,7,4,3,3,6,6,3,4,4,4,5,1,5,5,3,6,3,5,5,7,5,4,4,2,7,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,5,1,3,5,,3,5,5
92,Windows,2,2,2,3,4,2,3,3,3,3,5,5,4,5,5,2,5,5,5,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,4,3,5,3,3,3,4,3,5,4,3,4,4,5,3,4,5,4,5,4,3,4,4,5,4,5,4,4,5,4,4,5,4,5,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,1,1,3,1,5,1,1,5,3,5
93,Windows,3,2,3,3,4,4,4,3,3,3,5,5,4,5,5,1,5,4,4,4,5,5,4,3,4,4,4,3,3,4,4,3,5,5,4,4,5,2,5,3,7,6,4,2,4,7,5,4,3,4,4,4,7,4,7,3,6,7,3,7,6,7,3,5,7,7,7,4,4,4,3,2,5,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,3,1,5,5,3,1,5,1,3,1,3
94,Windows,3,3,2,2,4,3,2,3,2,2,4,3,2,4,4,3,4,4,4,3,1,4,3,4,3,3,4,3,2,3,3,4,4,4,4,4,4,3,2,6,7,7,5,2,4,6,6,2,4,3,4,5,6,5,6,4,4,6,5,7,6,5,6,5,7,6,7,5,4,6,2,4,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,5,1,5,1,5,5,5,3,3,3,5,1,5,5,5
95,Windows,3,4,3,2,2,2,3,3,3,1,4,3,2,4,5,1,4,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,2,5,5,3,4,4,6,4,4,3,3,4,4,4,3,5,4,3,5,4,4,4,3,3,3,6,4,3,4,3,5,3,3,2,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,5,1,1,1,1,1,5,3,1,1,3,1,5,5,1,1,1
96,Windows,4,4,3,3,2,2,3,2,2,2,5,4,5,4,4,3,4,5,4,4,5,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,5,4,3,4,5,3,3,6,3,4,3,5,6,5,5,3,4,4,5,3,2,6,4,2,4,3,3,3,2,3,2,4,3,5,1,5,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,5,5,1,3,1,5
97,Windows,4,5,5,3,4,2,3,3,3,3,5,5,5,5,5,3,4,4,3,3,3,5,2,2,4,4,2,4,4,4,4,4,5,5,5,4,5,3,4,5,5,4,3,2,4,6,4,5,3,3,3,4,5,4,5,4,4,5,4,4,4,5,5,3,6,5,4,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,1,5,5,,,1,5
98,Android,3,4,4,3,4,3,5,4,5,4,4,4,3,3,5,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,5,3,4,6,6,4,3,2,2,7,7,7,2,2,7,2,3,2,2,3,3,2,2,7,7,6,6,6,3,4,4,3,3,3,3,6,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,5,3,5,3,3,3,2,5,5,5,1
99,Android,,,3,,,3,4,4,,3,5,,,,,2,,5,5,,1,,,4,,3,,4,,,,3,,4,4,4,,,6,7,6,6,6,6,6,5,5,5,5,5,5,5,7,7,7,7,7,7,7,5,5,6,7,5,4,4,3,4,4,5,5,5,4,1,1,1,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,5,5,5,5,5,3,2,3,3,3,1
100,Android,,,,,5,4,,4,,,,,,,5,,,,,,5,,,1,,5,5,5,,4,,5,,,,,,,7,6,6,6,5,2,3,6,,6,,4,,,6,,6,,,6,,,4,6,,,,5,,,,4,,,,5,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,2,1,,5,1
101,Windows,4,4,4,2,4,3,2,2,1,1,3,5,4,5,5,3,5,3,5,5,5,4,4,3,3,3,3,3,3,3,3,3,5,3,3,3,4,,,,7,6,7,,5,5,7,4,7,7,7,6,2,6,7,7,7,7,7,6,7,6,6,6,7,,6,7,7,7,2,7,3,1,5,5,5,5,1,5,5,5,5,1,1,5,1,5,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,3,1,3,3,1,3,1,5,1,5,5
102,Windows,2,3,2,5,3,3,4,4,2,3,4,4,3,5,4,2,4,4,3,3,5,4,3,3,3,3,3,3,3,4,4,4,4,5,2,4,5,1,6,5,5,4,2,4,3,4,3,2,3,1,4,4,6,2,5,4,2,4,3,5,4,4,5,1,4,4,5,4,4,4,3,5,4,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,1,5,5,3,1,2,5,1,3,1
103,Windows,2,3,2,4,3,2,4,4,3,3,5,4,4,5,5,2,5,4,3,3,5,4,1,1,3,4,5,4,5,5,5,4,5,5,5,5,5,3,4,4,5,3,3,3,3,5,5,5,3,4,4,4,3,4,5,3,4,3,3,4,4,4,4,5,3,4,3,3,3,4,3,3,3,1,1,1,1,5,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,5,1,1,1,5,3,5,5
104,iPhone/iPod,2,2,2,3,4,3,3,2,2,2,5,5,5,5,5,1,5,3,4,5,5,2,3,3,3,3,3,4,2,4,4,4,2,4,4,3,5,1,6,4,6,3,5,2,6,7,6,1,3,4,4,5,5,5,7,7,5,3,6,4,6,2,7,5,1,7,7,5,5,6,4,7,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,5,1,3,1,3,3,1,1,1,1,5,5,1
105,iPhone/iPod,5,3,2,2,2,3,2,2,2,1,4,5,4,5,4,3,5,2,4,4,5,4,2,3,3,3,2,3,2,4,3,2,5,4,5,2,4,3,4,4,5,5,4,3,3,6,6,6,3,3,3,5,5,5,6,4,4,4,4,4,5,6,5,6,5,5,5,4,5,5,2,4,5,1,1,5,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,3,1,1,1,,1,5,1,5,1
106,Windows,5,5,5,5,5,5,1,1,1,1,3,3,3,3,5,3,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,2,4,5,5,5,7,3,2,4,4,6,5,5,5,3,4,3,6,5,6,5,3,7,5,4,3,4,5,5,2,4,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,5,5,3,1,3,3,3,2,5,1,1,1
107,Windows,5,5,5,3,4,5,3,3,2,1,4,4,1,3,3,2,5,4,3,2,5,5,1,1,3,3,4,2,4,4,4,4,5,5,5,4,5,1,5,4,4,5,4,1,4,3,4,4,3,3,3,3,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,5,3,2,5,3,5,1
108,iPhone/iPod,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,7,5,4,4,2,4,5,7,5,3,5,6,5,5,6,4,3,6,2,7,5,7,5,4,7,5,6,6,5,5,4,3,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,5,5,1,1,1,5,1,1,1,5,5,1,1,3,5,2,5,1,5,5
109,Windows,2,3,3,3,3,2,5,4,3,4,3,4,3,3,4,2,4,2,2,2,5,4,2,4,3,4,3,3,4,3,3,3,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,5,1,5,3,3,1,1,3,2,1,1,3,1
110,Windows,3,4,3,3,2,4,4,3,4,2,4,4,4,3,2,4,4,3,3,3,5,4,5,3,4,3,3,4,3,2,4,3,3,4,4,3,3,4,4,4,5,4,3,5,4,2,6,4,4,4,4,5,4,5,4,5,5,4,6,6,6,4,4,5,4,4,5,4,6,4,4,2,4,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,3,5,1,3,3,3,2,1,5,1,5
111,Windows,5,5,5,1,2,3,1,1,1,1,5,5,2,4,5,1,5,4,4,4,5,4,2,4,4,4,4,4,4,4,4,4,5,4,3,4,4,3,5,5,4,5,6,5,6,4,6,5,6,5,4,2,3,3,5,4,4,5,5,5,4,5,4,5,5,5,5,6,7,6,6,7,6,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,3,5,1,3,3,3,2,1,5,1,5
112,Windows,3,4,3,2,4,3,3,3,3,3,4,5,2,4,5,1,5,4,4,5,3,,,,,,,,,,,,4,4,5,3,5,,2,3,7,7,2,4,2,6,4,6,2,1,4,4,5,2,4,1,2,3,3,4,3,5,5,2,2,3,5,3,3,3,3,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,3,3,1,5,,3,1,1,5,3,5
113,Windows,3,1,4,1,1,5,5,4,4,4,4,4,5,5,5,5,4,5,3,3,3,1,1,1,3,5,5,3,3,5,3,3,5,5,4,5,5,4,4,2,5,5,2,,5,5,6,5,2,5,5,5,5,4,6,6,6,5,6,6,6,4,6,5,6,6,5,4,5,5,6,6,2,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,3,1,1,5,1,5,1,1,5,5,5
114,Windows,2,2,2,4,3,2,3,3,3,3,3,4,5,4,4,2,4,2,2,2,5,5,1,4,2,4,2,2,2,4,4,3,5,4,4,2,4,,3,4,4,4,6,5,5,6,4,5,4,5,5,5,4,4,5,4,4,5,5,5,4,4,3,6,5,5,6,5,6,6,5,6,6,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,3,5,1,5,1,3,1,1,3,1,5
